Set,Set,Set,Set,Set,Set,Set,Set,Set,Set,Set,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9,Run #10,Run #10,Run #10,Run #10
τ (s),γ,Time of n oscillations (s),User Data 3 (units),Mass (Kg),error on mass (Kg),Diameter (cm),error on diameter (cm),volume (m^3),error on volume (m^3),Number of Oscillations,Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²)
,,,,,,,,,,,2.180,0.71,0.00,0.61,2.180,0.70,0.00,8.29,2.180,0.64,1.42,-26.94,2.180,0.50,-1.67,1.05,1.090,0.49,-3.20,0.04,2.180,0.43,0.22,15.61,2.180,0.56,-1.49,-3.44,2.180,0.46,-1.07,11.60,2.180,0.54,0.90,46.28,2.180,0.57,0.04,-3.66
,,,,,,,,,,,2.190,0.71,0.00,-0.52,2.190,0.70,0.00,0.00,2.190,0.65,0.91,-28.73,2.190,0.48,-1.62,13.54,1.095,0.47,-3.36,-19.76,2.190,0.43,0.37,14.14,2.190,0.55,-1.84,-28.23,2.190,0.45,-0.95,12.62,2.190,0.56,0.70,-8.58,2.190,0.57,0.06,-21.40
,,,,,,,,,,,2.200,0.71,-0.01,-0.09,2.200,0.70,0.00,0.00,2.200,0.66,0.84,-13.18,2.200,0.47,-1.40,17.13,1.100,0.45,-3.39,38.86,2.200,0.44,0.51,14.01,2.200,0.52,-2.05,-7.77,2.200,0.44,-0.82,12.02,2.200,0.55,0.73,1.83,2.200,0.57,-0.39,-37.58
,,,,,,,,,,,2.210,0.70,0.00,0.52,2.210,0.70,0.00,0.00,2.210,0.67,0.65,-34.57,2.210,0.46,-1.28,12.12,1.105,0.44,-2.98,46.87,2.210,0.44,0.65,15.13,2.210,0.50,-2.00,4.06,2.210,0.43,-0.71,12.60,2.210,0.57,0.73,-11.75,2.210,0.56,-0.69,-16.02
,,,,,,,,,,,2.220,0.71,0.00,-0.09,2.220,0.70,0.00,0.00,2.220,0.67,0.15,-36.21,2.220,0.44,-1.16,12.33,1.110,0.42,-2.92,101.12,2.220,0.45,0.81,14.00,2.220,0.48,-1.97,9.97,2.220,0.42,-0.56,15.93,2.220,0.57,0.50,33.38,2.220,0.56,-0.71,-17.40
,,,,,,,,,,,2.230,0.70,0.00,0.52,2.230,0.70,0.00,0.00,2.230,0.67,-0.08,-31.32,2.230,0.43,-1.03,14.58,1.115,0.41,-1.96,80.19,2.230,0.46,0.93,11.26,2.230,0.47,-1.80,14.44,2.230,0.42,-0.39,16.45,2.230,0.58,1.40,44.41,2.230,0.55,-1.04,-6.82
,,,,,,,,,,,2.240,0.71,0.01,0.09,2.240,0.70,0.00,0.00,2.240,0.67,-0.47,-43.54,2.240,0.42,-0.86,15.11,1.120,0.40,-2.12,-168.22,2.240,0.47,1.03,9.13,2.240,0.45,-1.68,9.38,2.240,0.42,-0.23,16.04,2.240,0.60,1.39,-11.09,2.240,0.54,-0.84,-4.95
,,,,,,,,,,,2.250,0.71,0.00,-0.52,2.250,0.70,0.00,0.09,2.250,0.66,-0.95,-27.25,2.250,0.41,-0.73,23.49,1.125,0.39,-3.65,-107.64,2.250,0.48,1.11,13.56,2.250,0.43,-1.61,18.20,2.250,0.41,-0.07,15.16,2.250,0.61,1.18,3.38,2.250,0.53,-1.14,-32.21
,,,,,,,,,,,2.260,0.71,0.00,0.00,2.260,0.70,0.00,0.01,2.260,0.65,-1.02,4.31,2.260,0.41,-0.39,27.66,1.130,0.37,-3.20,71.65,2.260,0.49,1.30,22.77,2.260,0.42,-1.32,32.63,2.260,0.42,0.07,14.07,2.260,0.62,1.45,21.50,2.260,0.51,-1.49,-12.66
,,,,,,,,,,,2.270,0.71,0.00,0.00,2.270,0.70,1.87E-4,0.58,2.270,0.64,-0.86,-1.57,2.270,0.41,-0.17,10.99,1.135,0.35,-2.93,-617.02,2.270,0.50,1.57,9.55,2.270,0.41,-0.96,17.19,2.270,0.42,0.21,15.07,2.270,0.64,1.61,-2.22,2.270,0.50,-1.39,-1.35
,,,,,,,,,,,2.280,0.71,0.00,0.00,2.280,0.70,0.01,-9.24,2.280,0.63,-1.05,-38.47,2.280,0.40,-0.17,8.17,1.140,0.34,-9.37,6226.81,2.280,0.52,1.50,-1.06,2.280,0.40,-0.97,-2.07,2.280,0.42,0.37,14.73,2.280,0.65,1.41,2.70,2.280,0.49,-1.51,-11.97
,,,,,,,,,,,2.290,0.71,0.00,0.00,2.290,0.70,-0.18,-60.36,2.290,0.62,-1.63,-26.49,2.290,0.40,-0.01,17.20,1.145,0.26,59.34,1135.91,2.290,0.53,1.55,-5.71,2.290,0.39,-1.00,0.18,2.290,0.42,0.51,13.32,2.290,0.66,1.66,-4.80,2.290,0.47,-1.63,-6.91
,,,,,,,,,,,2.300,0.71,0.00,0.00,2.300,0.70,-1.19,-73.18,2.300,0.60,-1.58,-15.06,2.300,0.40,0.17,8.91,1.150,0.93,1.99,-12343.32,2.300,0.55,1.38,-27.51,2.300,0.38,-0.97,10.85,2.300,0.43,0.64,12.88,2.300,0.68,1.31,-37.84,2.300,0.45,-1.65,-4.97
,,,,,,,,,,,2.310,0.71,0.00,0.00,2.310,0.68,-1.65,-50.99,2.310,0.59,-1.93,-26.39,2.310,0.41,0.17,8.08,1.155,0.28,-64.10,-193.35,2.310,0.56,1.00,-23.15,2.310,0.37,-0.78,19.33,2.310,0.44,0.77,12.61,2.310,0.69,0.91,-37.41,2.310,0.44,-1.73,3.18
,,,,,,,,,,,2.320,0.71,0.00,0.00,2.320,0.67,-2.21,-43.77,2.320,0.56,-2.11,7.57,2.320,0.41,0.33,25.01,1.160,0.29,0.06,6165.49,2.320,0.57,0.92,19.88,2.320,0.36,-0.58,20.16,2.320,0.44,0.89,10.83,2.320,0.70,0.56,-47.38,2.320,0.42,-1.59,20.39
,,,,,,,,,,,2.330,0.71,0.00,0.00,2.330,0.64,-2.52,-0.98,2.330,0.54,-1.78,-2.20,2.330,0.41,0.67,24.67,1.165,0.28,-2.44,-147.13,2.330,0.58,1.39,24.99,2.330,0.36,-0.38,26.37,2.330,0.45,0.98,9.50,2.330,0.70,-0.04,-28.75,2.330,0.41,-1.32,-2.59
,,,,,,,,,,,2.340,0.71,0.00,0.00,2.340,0.62,-2.23,-6.94,2.340,0.52,-2.15,-23.57,2.340,0.42,0.82,14.35,1.170,0.27,-1.42,25.62,2.340,0.60,1.42,-19.11,2.340,0.35,-0.05,25.97,2.340,0.46,1.08,8.88,2.340,0.70,-0.01,1.98,2.340,0.39,-1.64,-25.26
,,,,,,,,,,,2.350,0.71,0.00,0.00,2.350,0.59,-2.66,-16.37,2.350,0.50,-2.25,-0.90,2.350,0.43,0.95,12.05,1.175,0.27,-2.18,-125.89,2.350,0.61,1.01,-10.88,2.350,0.35,0.14,19.75,2.350,0.48,1.16,5.26,2.350,0.70,0.00,0.52,2.350,0.37,-1.83,-4.45
,,,,,,,,,,,2.360,0.71,0.00,0.00,2.360,0.56,-2.56,19.85,2.360,0.48,-2.17,6.49,2.360,0.44,1.07,11.13,1.180,0.24,-2.67,86.58,2.360,0.62,1.20,6.24,2.360,0.36,0.34,19.21,2.360,0.49,1.18,9.65,2.360,0.70,0.00,0.00,2.360,0.36,-1.73,9.35
,,,,,,,,,,,2.370,0.71,0.00,0.00,2.370,0.54,-2.27,11.67,2.370,0.46,-2.12,1.58,2.370,0.45,1.18,9.98,1.185,0.24,-1.32,156.09,2.370,0.63,1.14,-16.96,2.370,0.36,0.53,24.68,2.370,0.50,1.35,22.04,2.370,0.70,0.00,0.00,2.370,0.34,-1.64,17.09
,,,,,,,,,,,2.380,0.71,0.00,0.00,2.380,0.52,-2.33,-14.83,2.380,0.44,-2.14,18.18,2.380,0.46,1.27,15.65,1.190,0.23,-1.11,28.78,2.380,0.64,0.86,-23.57,2.380,0.37,0.83,23.42,2.380,0.51,1.62,-9.80,2.380,0.70,0.00,0.00,2.380,0.32,-1.39,21.28
,,,,,,,,,,,2.390,0.71,0.00,0.00,2.390,0.49,-2.56,-6.68,2.390,0.42,-1.76,35.10,2.390,0.48,1.49,16.19,1.195,0.23,-1.03,-16.81,2.390,0.65,0.66,-4.47,2.390,0.38,1.00,8.67,2.390,0.53,1.16,-39.11,2.390,0.70,0.00,0.00,2.390,0.31,-1.21,11.05
,,,,,,,,,,,2.400,0.71,0.00,0.00,2.400,0.47,-2.46,14.63,2.400,0.40,-1.44,-3.84,2.400,0.49,1.59,-11.18,1.200,0.22,-1.28,38.44,2.400,0.66,0.77,1.98,2.400,0.39,1.01,-10.48,2.400,0.54,0.84,31.71,2.400,0.70,0.00,0.00,2.400,0.30,-1.17,14.39
,,,,,,,,,,,2.410,0.71,0.00,0.00,2.410,0.44,-2.27,24.06,2.410,0.39,-1.84,-23.72,2.410,0.51,1.27,16.71,1.205,0.22,-0.65,69.61,2.410,0.67,0.70,-29.66,2.410,0.40,0.79,-4.02,2.410,0.55,1.79,20.49,2.410,0.70,0.00,0.00,2.410,0.29,-0.93,19.23
,,,,,,,,,,,2.420,0.71,0.00,0.00,2.420,0.42,-1.98,35.68,2.420,0.37,-1.91,12.88,2.420,0.52,1.92,13.11,1.210,0.21,-0.59,14.45,2.420,0.67,0.18,-28.18,2.420,0.40,0.93,29.77,2.420,0.57,1.25,-52.68,2.420,0.70,0.00,0.00,2.420,0.28,-0.78,10.54
,,,,,,,,,,,2.430,0.71,0.00,0.00,2.430,0.40,-1.56,4.25,2.430,0.35,-1.58,28.29,2.430,0.55,1.53,-54.26,1.215,0.21,-0.50,75.92,2.430,0.67,0.14,0.37,2.430,0.42,1.38,32.97,2.430,0.57,0.74,0.37,2.430,0.70,0.00,-0.09,2.430,0.27,-0.72,20.33
,,,,,,,,,,,2.440,0.71,0.00,1.76,2.440,0.39,-1.89,-17.83,2.440,0.33,-1.34,29.99,2.440,0.55,0.84,13.03,1.220,0.21,0.17,52.48,2.440,0.67,0.19,-16.13,2.440,0.43,1.59,13.66,2.440,0.59,1.26,10.74,2.440,0.70,0.00,0.43,2.440,0.27,-0.38,26.00
,,,,,,,,,,,2.450,0.71,0.04,-5.70,2.450,0.37,-1.91,20.95,2.450,0.32,-0.98,20.32,2.450,0.56,1.79,46.20,1.225,0.21,0.02,-41.80,2.450,0.67,-0.18,-29.74,2.450,0.45,1.65,-1.64,2.450,0.60,0.95,-8.94,2.450,0.70,0.01,0.61,2.450,0.26,-0.20,18.42
,,,,,,,,,,,2.460,0.71,-0.11,-13.52,2.460,0.35,-1.48,33.91,2.460,0.31,-0.94,4.72,2.460,0.59,1.76,-34.51,1.230,0.21,-0.24,22.02,2.460,0.67,-0.41,-2.45,2.460,0.46,1.55,-3.41,2.460,0.61,1.08,2.21,2.460,0.70,0.01,-0.43,2.460,0.26,-0.01,19.84
,,,,,,,,,,,2.470,0.70,-0.24,-57.74,2.470,0.34,-1.23,30.24,2.470,0.30,-0.88,20.33,2.470,0.60,1.10,-25.59,1.235,0.21,0.24,60.71,2.470,0.66,-0.23,-2.47,2.470,0.48,1.59,3.69,2.470,0.62,1.00,-9.20,2.470,0.70,0.00,-0.52,2.470,0.26,0.20,18.51
,,,,,,,,,,,2.480,0.70,-1.27,-138.75,2.480,0.33,-0.87,32.16,2.480,0.30,-0.53,36.74,2.480,0.61,1.25,9.28,1.240,0.21,0.36,20.56,2.480,0.66,-0.46,-27.57,2.480,0.50,1.63,7.04,2.480,0.63,0.90,-28.18,2.480,0.70,0.00,0.00,2.480,0.27,0.36,23.71
,,,,,,,,,,,2.490,0.68,-3.01,-73.43,2.490,0.32,-0.59,26.01,2.490,0.29,-0.15,31.82,2.490,0.62,1.29,-4.53,1.245,0.21,0.45,52.97,2.490,0.66,-0.78,-10.18,2.490,0.51,1.73,-10.54,2.490,0.64,0.43,-45.58,2.490,0.70,0.00,0.00,2.490,0.27,0.68,22.27
,,,,,,,,,,,2.500,0.64,-2.74,59.86,2.500,0.31,-0.35,24.73,2.500,0.29,0.11,16.76,2.500,0.63,1.16,-17.81,1.250,0.22,0.89,45.61,2.500,0.65,-0.66,-2.06,2.500,0.53,1.42,-14.68,2.500,0.64,-0.02,8.43,2.500,0.70,0.00,2.11,2.500,0.28,0.81,16.41
,,,,,,,,,,,2.510,0.62,-1.81,29.73,2.510,0.31,-0.10,28.03,2.510,0.29,0.19,5.41,2.510,0.65,0.93,-29.05,1.255,0.22,0.90,-14.88,2.510,0.64,-0.82,-11.79,2.510,0.54,1.43,8.60,2.510,0.64,0.60,25.46,2.510,0.70,0.04,-4.63,2.510,0.29,1.00,10.05
,,,,,,,,,,,2.520,0.60,-2.14,-32.26,2.520,0.31,0.21,27.19,2.520,0.30,0.21,11.47,2.520,0.65,0.58,-14.16,1.260,0.22,0.74,13.57,2.520,0.63,-0.90,-5.41,2.520,0.56,1.59,-8.55,2.520,0.65,0.49,-17.81,2.520,0.70,-0.09,-35.07,2.520,0.30,1.01,-5.13
,,,,,,,,,,,2.530,0.58,-2.46,3.30,2.530,0.32,0.45,25.22,2.530,0.30,0.41,28.88,2.530,0.66,0.65,-6.25,1.265,0.23,1.04,112.19,2.530,0.62,-0.93,-7.30,2.530,0.57,1.26,-19.47,2.530,0.65,0.25,-43.47,2.530,0.70,-0.66,-55.42,2.530,0.31,0.90,9.00
,,,,,,,,,,,2.540,0.56,-2.08,35.33,2.540,0.32,0.71,25.28,2.540,0.31,0.79,27.34,2.540,0.66,0.45,-18.50,1.270,0.24,1.87,28.97,2.540,0.61,-1.04,-3.68,2.540,0.58,1.20,-7.57,2.540,0.65,-0.38,-53.21,2.540,0.69,-1.20,-55.53,2.540,0.32,1.19,20.00
,,,,,,,,,,,2.550,0.54,-1.75,12.02,2.550,0.33,0.95,28.12,2.550,0.31,0.96,16.97,2.550,0.67,0.28,-15.61,1.275,0.25,1.33,-73.40,2.550,0.60,-1.01,-9.69,2.550,0.60,1.11,-10.32,2.550,0.64,-0.82,10.40,2.550,0.68,-1.77,-45.50,2.550,0.33,1.30,9.66
,,,,,,,,,,,2.560,0.52,-1.84,-7.64,2.560,0.34,1.28,39.60,2.560,0.32,1.13,17.92,2.560,0.67,0.14,-14.27,1.280,0.25,1.13,151.67,2.560,0.59,-1.24,-27.95,2.560,0.61,0.99,-16.45,2.560,0.64,-0.17,19.41,2.560,0.65,-2.11,-14.38,2.560,0.34,1.38,15.66
,,,,,,,,,,,2.570,0.50,-1.90,5.95,2.570,0.36,1.75,21.05,2.570,0.34,1.32,17.00,2.570,0.67,-0.01,-17.77,1.285,0.26,2.85,203.98,2.570,0.58,-1.56,25.65,2.570,0.62,0.78,-9.58,2.570,0.64,-0.43,-27.14,2.570,0.63,-2.06,5.67,2.570,0.36,1.61,15.29
,,,,,,,,,,,2.580,0.48,-1.72,24.81,2.580,0.38,1.70,-18.80,2.580,0.35,1.47,22.55,2.580,0.67,-0.21,-8.21,1.290,0.28,3.17,-256.95,2.580,0.56,-0.72,34.51,2.580,0.62,0.80,-6.64,2.580,0.63,-0.71,-13.07,2.580,0.61,-2.00,-25.86,2.580,0.38,1.69,-14.03
,,,,,,,,,,,2.590,0.47,-1.41,25.46,2.590,0.39,1.37,-1.93,2.590,0.37,1.77,13.33,2.590,0.67,-0.17,-10.54,1.295,0.29,0.28,-296.78,2.590,0.56,-0.87,-47.62,2.590,0.63,0.65,-16.19,2.590,0.62,-0.69,3.49,2.590,0.59,-2.57,8.05,2.590,0.39,1.33,-22.08
,,,,,,,,,,,2.600,0.45,-1.21,20.09,2.600,0.40,1.66,33.71,2.600,0.39,1.74,-23.90,2.600,0.67,-0.42,-32.33,1.300,0.28,0.20,261.86,2.600,0.55,-1.68,-12.57,2.600,0.63,0.48,-13.81,2.600,0.61,-0.64,-6.30,2.600,0.56,-1.84,32.30,2.600,0.40,1.25,5.56
,,,,,,,,,,,2.610,0.44,-1.01,18.93,2.610,0.42,2.04,29.77,2.610,0.40,1.29,-12.35,2.610,0.66,-0.82,-4.96,1.305,0.29,2.90,398.03,2.610,0.53,-1.13,38.90,2.610,0.64,0.37,-33.91,2.610,0.61,-0.82,-22.62,2.610,0.56,-1.93,-46.42,2.610,0.42,1.45,11.32
,,,,,,,,,,,2.620,0.43,-0.83,19.81,2.620,0.44,2.25,14.27,2.620,0.41,1.49,29.37,2.620,0.65,-0.52,-5.03,1.310,0.31,4.18,-97.04,2.620,0.52,-0.90,9.09,2.620,0.64,-0.20,-26.42,2.620,0.60,-1.09,1.63,2.620,0.52,-2.76,-8.82,2.620,0.43,1.47,-1.78
,,,,,,,,,,,2.630,0.43,-0.61,25.35,2.630,0.47,2.33,9.45,2.630,0.43,1.88,20.06,2.630,0.65,-0.92,-38.99,1.315,0.34,1.93,-248.02,2.630,0.51,-0.94,-4.77,2.630,0.64,-0.16,-3.10,2.630,0.59,-0.79,6.21,2.630,0.50,-2.11,29.54,2.630,0.45,1.41,-8.33
,,,,,,,,,,,2.640,0.42,-0.32,18.62,2.640,0.49,2.44,-4.07,2.640,0.45,1.89,0.29,2.640,0.63,-1.30,-5.74,1.320,0.33,1.70,107.18,2.640,0.50,-0.99,0.62,2.640,0.64,-0.26,-23.18,2.640,0.58,-0.97,-26.96,2.640,0.48,-2.17,3.81,2.640,0.46,1.31,-9.84
,,,,,,,,,,,2.650,0.42,-0.24,16.03,2.650,0.52,2.25,-10.15,2.650,0.47,1.89,-2.38,2.650,0.62,-1.04,18.46,1.325,0.35,3.00,49.75,2.650,0.49,-0.93,12.73,2.650,0.63,-0.62,-15.81,2.650,0.57,-1.32,-14.53,2.650,0.46,-2.03,14.94,2.650,0.47,1.21,-9.05
,,,,,,,,,,,2.660,0.42,0.00,35.69,2.660,0.54,2.24,-2.39,2.660,0.49,1.84,1.24,2.660,0.61,-0.93,-6.08,1.330,0.36,2.20,34.40,2.660,0.49,-0.74,15.09,2.660,0.63,-0.58,-14.60,2.660,0.56,-1.26,10.90,2.660,0.44,-1.88,20.27,2.660,0.48,1.13,-11.45
,,,,,,,,,,,2.670,0.42,0.48,28.74,2.670,0.56,2.20,-11.52,2.670,0.51,1.91,-13.41,2.670,0.60,-1.16,-33.39,1.335,0.37,3.34,59.85,2.670,0.48,-0.63,12.04,2.670,0.62,-0.91,-15.14,2.670,0.54,-1.11,18.17,2.670,0.42,-1.62,40.00,2.670,0.50,0.98,-11.48
,,,,,,,,,,,2.680,0.43,0.57,15.65,2.680,0.58,2.01,6.98,2.680,0.53,1.58,2.86,2.680,0.59,-1.60,12.94,1.340,0.39,2.80,-218.89,2.680,0.47,-0.50,12.52,2.680,0.61,-0.88,8.47,2.680,0.53,-0.90,10.92,2.680,0.41,-1.08,30.95,2.680,0.50,0.90,-15.41
,,,,,,,,,,,2.690,0.43,0.79,25.54,2.690,0.60,2.34,-14.99,2.690,0.54,1.97,18.07,2.690,0.57,-0.90,38.69,1.345,0.40,1.15,-134.67,2.690,0.47,-0.38,12.51,2.690,0.60,-0.74,-15.48,2.690,0.53,-0.89,-6.49,2.690,0.40,-1.00,-8.06,2.690,0.51,0.68,-12.66
,,,,,,,,,,,2.700,0.44,1.08,19.34,2.700,0.63,1.71,-41.39,2.700,0.57,1.94,-51.92,2.700,0.57,-0.83,-45.26,1.350,0.40,1.45,138.60,2.700,0.46,-0.25,12.50,2.700,0.59,-1.19,-27.55,2.700,0.52,-1.03,-3.70,2.700,0.39,-1.24,-3.49,2.700,0.52,0.64,-5.23
,,,,,,,,,,,2.710,0.45,1.18,13.70,2.710,0.64,1.51,-1.58,2.710,0.58,0.93,-50.14,2.710,0.55,-1.80,-33.01,1.355,0.42,2.54,107.18,2.710,0.46,-0.13,12.42,2.710,0.58,-1.29,-10.07,2.710,0.51,-0.96,1.14,2.710,0.38,-1.07,26.80,2.710,0.53,0.57,-20.33
,,,,,,,,,,,2.720,0.47,1.36,16.93,2.720,0.66,1.68,22.97,2.720,0.58,0.93,10.95,2.720,0.53,-1.49,36.68,1.360,0.43,2.52,-40.28,2.720,0.46,-1.66E-4,12.95,2.720,0.57,-1.39,0.39,2.720,0.50,-1.00,0.96,2.720,0.37,-0.70,32.18,2.720,0.53,0.24,-24.81
,,,,,,,,,,,2.730,0.48,1.51,12.21,2.730,0.67,1.97,-20.85,2.730,0.59,1.15,3.44,2.730,0.52,-1.07,14.87,1.365,0.44,2.14,25.43,2.730,0.46,0.13,12.57,2.730,0.55,-1.28,23.22,2.730,0.49,-0.94,14.08,2.730,0.36,-0.43,25.98,2.730,0.53,0.07,-6.14
,,,,,,,,,,,2.740,0.50,1.60,28.91,2.740,0.70,1.26,-85.67,2.740,0.61,1.00,-35.27,2.740,0.51,-1.19,-10.17,1.370,0.45,2.78,120.14,2.740,0.46,0.25,11.64,2.740,0.54,-0.93,-1.38,2.740,0.48,-0.72,16.36,2.740,0.36,-0.18,25.01,2.740,0.53,0.11,-1.37
,,,,,,,,,,,2.750,0.51,2.09,10.27,2.750,0.70,0.26,-46.82,2.750,0.61,0.44,-27.76,2.750,0.50,-1.27,-0.23,1.375,0.47,3.34,-2.15,2.750,0.47,0.36,11.14,2.750,0.53,-1.31,-29.14,2.750,0.47,-0.62,9.94,2.750,0.36,0.07,24.53,2.750,0.53,0.05,-29.44
,,,,,,,,,,,2.760,0.54,1.81,-18.93,2.760,0.70,0.32,2.69,2.760,0.62,0.45,-13.57,2.760,0.49,-1.20,15.53,1.380,0.48,2.76,-81.31,2.760,0.47,0.47,11.25,2.760,0.52,-1.51,-7.33,2.760,0.47,-0.52,9.70,2.760,0.36,0.31,23.45,2.760,0.53,-0.48,-35.44
,,,,,,,,,,,2.770,0.55,1.71,17.89,2.770,0.70,0.31,-25.46,2.770,0.62,0.17,-15.45,2.770,0.48,-0.96,16.77,1.385,0.50,2.52,3.34,2.770,0.48,0.59,9.53,2.770,0.50,-1.46,4.94,2.770,0.46,-0.42,11.59,2.770,0.36,0.54,29.33,2.770,0.52,-0.66,-5.97
,,,,,,,,,,,2.780,0.57,2.17,11.25,2.780,0.71,-0.18,-15.48,2.780,0.62,0.14,-5.54,2.780,0.47,-0.86,10.66,1.390,0.51,2.79,-40.47,2.780,0.48,0.66,15.72,2.780,0.49,-1.41,10.78,2.780,0.46,-0.29,12.24,2.780,0.37,0.90,29.23,2.780,0.52,-0.59,-1.41
,,,,,,,,,,,2.790,0.59,1.94,-29.39,2.790,0.70,0.00,16.35,2.790,0.63,0.06,-35.05,2.790,0.46,-0.75,11.94,1.395,0.53,2.12,40.33,2.790,0.49,0.90,15.28,2.790,0.47,-1.24,11.73,2.790,0.45,-0.18,10.71,2.790,0.38,1.12,7.90,2.790,0.51,-0.69,-17.29
,,,,,,,,,,,2.800,0.61,1.58,36.33,2.800,0.71,0.14,-52.25,2.800,0.62,-0.56,-30.87,2.800,0.45,-0.62,13.40,1.400,0.53,3.19,54.18,2.800,0.50,0.97,-1.14,2.800,0.46,-1.18,8.08,2.800,0.45,-0.08,11.18,2.800,0.39,1.05,-13.61,2.800,0.50,-0.94,-19.38
,,,,,,,,,,,2.810,0.62,2.67,28.90,2.810,0.70,-1.04,-60.72,2.810,0.62,-0.56,-15.39,2.810,0.45,-0.48,13.38,1.405,0.56,2.66,-233.68,2.810,0.51,0.88,0.10,2.810,0.45,-1.08,10.36,2.810,0.45,0.05,11.29,2.810,0.40,0.85,6.13,2.810,0.49,-1.08,-3.44
,,,,,,,,,,,2.820,0.66,2.16,-78.30,2.820,0.69,-1.07,-23.45,2.820,0.61,-0.87,-14.07,2.820,0.44,-0.35,13.26,1.410,0.56,0.86,-55.79,2.820,0.52,0.97,7.44,2.820,0.44,-0.97,2.18,2.820,0.45,0.15,10.19,2.820,0.41,1.18,41.95,2.820,0.48,-1.01,0.35
,,,,,,,,,,,2.830,0.67,1.10,-9.42,2.830,0.68,-1.51,-27.30,2.830,0.60,-0.84,-10.41,2.830,0.44,-0.22,14.27,1.415,0.57,2.10,122.10,2.830,0.53,1.03,-2.97,2.830,0.43,-1.04,9.40,2.830,0.46,0.25,11.15,2.830,0.43,1.69,30.90,2.830,0.47,-1.07,-6.13
,,,,,,,,,,,2.840,0.69,1.97,-8.72,2.840,0.66,-1.62,-14.77,2.840,0.59,-1.08,-9.24,2.840,0.44,-0.07,13.82,1.420,0.58,2.08,-3.26,2.840,0.54,0.91,-8.05,2.840,0.42,-0.78,18.61,2.840,0.46,0.37,11.37,2.840,0.44,1.80,8.40,2.840,0.46,-1.13,-5.70
,,,,,,,,,,,2.850,0.71,0.93,-100.42,2.850,0.65,-1.81,-38.18,2.850,0.58,-1.02,11.88,2.850,0.44,0.06,13.26,1.425,0.59,2.07,60.66,2.850,0.55,0.87,3.38,2.850,0.42,-0.67,13.13,2.850,0.46,0.48,9.54,2.850,0.46,1.86,12.25,2.850,0.45,-1.18,-4.89
,,,,,,,,,,,2.860,0.71,-0.04,-46.25,2.860,0.62,-2.38,-19.15,2.860,0.57,-0.84,-23.17,2.860,0.44,0.20,13.90,1.430,0.60,2.69,-20.73,2.860,0.56,0.98,6.52,2.860,0.41,-0.52,28.96,2.860,0.47,0.56,8.50,2.860,0.48,2.04,12.30,2.860,0.44,-1.23,-9.25
,,,,,,,,,,,2.870,0.71,0.00,1.98,2.870,0.60,-2.19,1.43,2.870,0.56,-1.49,-55.77,2.870,0.44,0.34,12.49,1.435,0.61,1.86,-111.65,2.870,0.57,1.00,8.11,2.870,0.40,-0.09,21.97,2.870,0.47,0.65,9.41,2.870,0.50,2.10,20.13,2.870,0.43,-1.37,1.98
,,,,,,,,,,,2.880,0.71,0.00,0.43,2.880,0.58,-2.35,-11.69,2.880,0.54,-1.96,-13.83,2.880,0.45,0.45,11.88,1.440,0.62,1.57,48.40,2.880,0.58,1.14,15.33,2.880,0.40,-0.08,1.87,2.880,0.48,0.75,5.53,2.880,0.52,2.44,-13.24,2.880,0.41,-1.19,25.76
,,,,,,,,,,,2.890,0.70,0.01,0.61,2.890,0.55,-2.42,-5.77,2.890,0.52,-1.76,19.86,2.890,0.45,0.58,13.06,1.445,0.63,2.35,27.24,2.890,0.59,1.30,-10.83,2.890,0.40,-0.05,-0.07,2.890,0.49,0.76,9.63,2.890,0.55,1.84,-57.70,2.890,0.40,-0.85,9.37
,,,,,,,,,,,2.900,0.71,0.01,-0.43,2.900,0.53,-2.47,-12.46,2.900,0.51,-1.56,1.01,2.900,0.46,0.71,11.40,1.450,0.64,1.84,-85.64,2.900,0.60,0.93,-32.27,2.900,0.40,-0.08,4.02,2.900,0.50,0.94,5.67,2.900,0.56,1.29,6.68,2.900,0.39,-1.00,-14.96
,,,,,,,,,,,2.910,0.71,0.00,-0.52,2.910,0.50,-2.67,-13.11,2.910,0.49,-1.74,-4.05,2.910,0.47,0.80,9.02,1.455,0.65,1.49,-110.07,2.910,0.61,0.66,-0.40,2.910,0.40,0.03,9.78,2.910,0.51,0.87,-5.00,2.910,0.58,1.97,40.52,2.910,0.38,-1.15,-4.41
