Set,Set,Set,Set,Set,Set,Set,Set,Set,Set,Set,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9,Run #10,Run #10,Run #10,Run #10
τ (s),γ,Time of n oscillations (s),User Data 3 (units),Mass (Kg),error on mass (Kg),Diameter (cm),error on diameter (cm),volume (m^3),error on volume (m^3),Number of Oscillations,Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²)
,,,,,,,,,,,0.130,0.70,0.00,0.00,0.130,0.70,0.02,1.54,0.130,0.70,0.05,4.59,0.130,0.71,0.00,0.00,0.065,0.71,0.02,-2.43,0.130,0.71,0.00,-0.09,0.130,0.71,0.00,-0.52,0.130,0.71,0.00,0.00,0.130,0.71,0.00,0.52,0.130,0.66,0.02,-0.99
,,,,,,,,,,,0.140,0.70,0.00,0.00,0.140,0.70,0.04,3.02,0.140,0.70,0.07,-4.73,0.140,0.71,0.00,0.00,0.070,0.71,-0.01,-0.71,0.140,0.71,0.00,0.43,0.140,0.71,-0.01,-0.18,0.140,0.71,0.00,0.00,0.140,0.71,0.00,0.00,0.140,0.66,-0.01,4.99
,,,,,,,,,,,0.150,0.70,0.00,0.00,0.150,0.70,0.08,1.31,0.150,0.70,-0.04,-6.67,0.150,0.71,0.00,0.00,0.075,0.71,0.02,3.13,0.150,0.71,0.01,0.52,0.150,0.71,0.00,1.04,0.150,0.71,0.00,0.00,0.150,0.71,0.00,0.00,0.150,0.66,0.12,8.16
,,,,,,,,,,,0.160,0.70,0.00,0.00,0.160,0.71,0.06,-4.13,0.160,0.70,-0.06,4.82,0.160,0.71,0.00,0.00,0.080,0.71,0.02,-3.84,0.160,0.71,0.01,-0.35,0.160,0.71,0.01,0.18,0.160,0.71,0.00,0.00,0.160,0.71,0.00,0.00,0.160,0.66,0.15,-4.91
,,,,,,,,,,,0.170,0.70,0.00,0.00,0.170,0.71,0.00,-3.11,0.170,0.70,0.05,6.15,0.170,0.71,0.00,0.00,0.085,0.71,-0.02,3.44,0.170,0.71,0.00,1.28,0.170,0.71,0.00,-0.95,0.170,0.71,0.00,0.00,0.170,0.71,0.00,0.00,0.170,0.66,0.02,-7.52
,,,,,,,,,,,0.180,0.70,0.00,0.00,0.180,0.71,0.00,0.00,0.180,0.70,0.06,-4.64,0.180,0.71,0.00,0.00,0.090,0.71,0.06,6.97,0.180,0.71,0.03,4.58,0.180,0.71,-0.01,-0.61,0.180,0.71,0.00,0.00,0.180,0.71,0.00,0.00,0.180,0.66,0.00,-1.11
,,,,,,,,,,,0.190,0.70,0.00,0.00,0.190,0.71,0.00,0.00,0.190,0.70,-0.04,-6.66,0.190,0.71,0.00,0.00,0.095,0.71,0.05,-12.93,0.190,0.71,0.09,1.40,0.190,0.71,-0.01,0.43,0.190,0.71,0.00,0.00,0.190,0.71,0.00,0.00,0.190,0.66,0.00,1.42
,,,,,,,,,,,0.200,0.70,0.00,0.00,0.200,0.71,0.00,0.00,0.200,0.70,-0.07,1.71,0.200,0.71,0.00,0.00,0.100,0.71,-0.07,20.85,0.200,0.71,0.06,-4.74,0.200,0.71,0.00,0.52,0.200,0.71,0.00,0.00,0.200,0.71,0.00,0.00,0.200,0.66,0.03,-5.56
,,,,,,,,,,,0.210,0.70,0.00,0.00,0.210,0.71,0.00,0.00,0.210,0.70,-0.01,5.18,0.210,0.71,0.00,0.00,0.105,0.71,0.26,9.98,0.210,0.71,0.00,-2.68,0.210,0.71,0.00,0.00,0.210,0.71,0.00,0.00,0.210,0.71,0.00,0.00,0.210,0.66,-0.11,-2.42
,,,,,,,,,,,0.220,0.70,0.00,0.00,0.220,0.71,0.00,0.00,0.220,0.70,0.03,0.35,0.220,0.71,0.00,0.00,0.110,0.71,0.03,-52.43,0.220,0.71,0.01,0.61,0.220,0.71,0.00,0.00,0.220,0.71,0.00,0.00,0.220,0.71,0.00,0.00,0.220,0.66,-0.02,11.62
