29,37,33
28,37,33
45,37,43
41,30,39
32,40,33
34,34,36
45,37,35
34,46,38
25,28,20
29,36,25
31,38,25
28,38,31
37,37,50
20,33,20
35,34,35
39,36,34
39,23,41
37,33,42
33,30,29
37,33,24
44,31,32
34,27,48
30,35,22
28,31,30
24,47,34
29,36,37
54,27,25
36,33,31
32,34,31
35,33,37
33,35,30
32,34,41
40,39,45
38,32,38
35,36,34
30,33,40
33,38,32
48,33,32
34,35,27
41,38,27
41,39,35
32,33,32
26,36,29
33,28,35
41,32,33
47,30,36
36,47,37
34,37,37
25,32,34
38,50,29
35,27,30
25,31,29
47,31,29
35,47,40
27,27,25
32,29,42
45,34,29
29,25,32
41,38,34
36,38,36
32,33,35
36,31,31
43,38,36
38,28,41
38,33,32
35,25,30
34,30,17
26,34,25
34,37,31
37,52,26
39,38,44
29,35,29
20,34,42
32,20,35
35,40,25
32,26,51
28,32,34
25,41,40
34,41,27
31,33,36
36,37,26
26,38,35
33,34,37
37,30,39
28,28,35
43,40,48
37,40,42
30,42,32
35,31,42
25,33,42
36,33,39
31,17,43
46,32,36
35,37,28
26,37,49
24,40,33
38,26,33
34,30,38
26,38,34
31,27,39
39,38,36
23,19,41
31,27,37
45,29,32
33,34,39
53,32,31
32,38,39
38,30,41
35,35,26
37,32,29
32,35,29
42,45,22
29,32,26
27,35,38
28,33,33
28,32,36
36,28,34
40,42,35
26,34,40
27,45,34
32,29,38
35,31,37
25,40,41
41,40,32
39,32,36
31,44,34
39,37,31
43,49,33
35,42,30
39,27,33
49,35,42
32,35,28
43,25,29
38,34,41
31,31,27
40,41,42
21,36,37
37,33,29
36,35,19
32,35,32
34,25,29
33,33,50
25,31,31
30,32,34
41,36,35
37,40,37
36,31,42
32,27,34
35,33,44
28,21,47
