400,300,250,400,300,250,400,500,450,450,500,400,500,450,400
27.94,20.5,17.09,28.57,21.35,17.59,29.21,35.78,32.27,33.72,36.87,29.94,39.44,35.52,31.26
27.78,20.22,17.07,28.95,21.19,17.63,29.07,35.02,32.28,34.19,37.22,30.06,39.53,35.57,31.44
27.75,20.51,17.19,28.46,21.2,17.56,28.96,35.37,32.58,33.53,37.4,29.66,39.26,35.39,31.68
