10,0.003
20,0.16
40,0.16
45,0.2
50,0.24
55,0.6
65,0.28
75,0.3
90,0.32
100,0.4
200,0.68
300,0.96
400,1.24
500,1.52
600,1.76
700,2.04
800,2.24
1000,2.68
1200,3
1600,3.56
1670,3.6
1750,3.68
1890,3.84
