0.16,1.266,Set,Set,Set,Set,Set,Set,Set,Set,Set,Set,Run #2,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9,Run #9,Run #10,Run #10,Run #10,Run #10,Run #10,Run #11,Run #11,Run #11,Run #11,Run #11,Run #12,Run #12,Run #12,Run #12,Run #12,Run #13,Run #13,Run #13,Run #13,Run #13,Run #14,Run #14,Run #14,Run #14,Run #14,Run #15,Run #15,Run #15,Run #15,Run #15,Run #16,Run #16,Run #16,Run #16,Run #16,Run #17,Run #17,Run #17,Run #17,Run #17,Run #18,Run #18,Run #18,Run #18,Run #18,,,,
0.17,0.8546,Amplitude (cm),Time Delay (s),?? (1/s),Peak to Peak Amplitude (cm),Net Amplitude (cm),Time of Peak 40% (s),Peak Height 40% (cm),ln(Peak Height 40%) (cm),Time of Undamped Peak (s),Undamped Peak Height (cm),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),,,,
3.39,-5.7038,,,,,,,,,,,3.21,-3.7942,-27.7,176.38,0.001,3.21,0.1089,11.87,-3.99,-0.003,0.642,,,,0.002,0.642,,,,0.009,0.642,,,,0.007,0.642,,,,-8.08E-04,0.642,,,,-0.004,0.642,,,,0.002,0.642,,,,-0.006,0.642,,,,-0.006,0.642,,,,0.003,0.642,,,,0.01,0.642,,,,8.28E-04,0.642,,,,-0.002,0.642,,,,0.004,0.642,,,,-8.94E-04,0.642,,,,0.01,,,,
3.4,-5.5835,,,,,,,,,,,3.22,-4.0524,-25.9,125.42,-0.003,3.22,0.226,13.84,55.27,0.002,0.644,,,,0.003,0.644,,,,0.008,0.644,,,,0.01,0.644,,,,-0.005,0.644,,,,0.002,0.644,,,,0.004,0.644,,,,8.15E-04,0.644,,,,9.50E-04,0.644,,,,0.006,0.644,,,,0.006,0.644,,,,-0.006,0.644,,,,0.002,0.644,,,,0.002,0.644,,,,-0.006,0.644,,,,0.005,,,,
3.41,-5.4677,,,,,,,,,,,3.23,-4.3121,-25.2,164.4,0.002,3.23,0.3857,12.98,-110.84,-0.003,0.646,,,,0.007,0.646,,,,0.002,0.646,,,,0.002,0.646,,,,0.001,0.646,,,,0.003,0.646,,,,0.01,0.646,,,,0.002,0.646,,,,0.003,0.646,,,,0.01,0.646,,,,0.003,0.646,,,,-4.18E-04,0.646,,,,0.002,0.646,,,,0.001,0.646,,,,0.002,0.646,,,,0.003,,,,
3.42,-5.2958,,,,,,,,,,,3.24,-4.5563,-22.61,262.39,-0.003,3.24,0.4856,11.62,188.72,5.07E-04,0.648,,,,0.01,0.648,,,,0.003,0.648,,,,0.003,0.648,,,,0.003,0.648,,,,0.006,0.648,,,,0.005,0.648,,,,0.004,0.648,,,,0.004,0.648,,,,0.003,0.648,,,,0.002,0.648,,,,0.002,0.648,,,,0.008,0.648,,,,-0.006,0.648,,,,0.002,0.648,,,,0.002,,,,
3.43,-5.127,,,,,,,,,,,3.25,-4.7644,-19.95,219.3,6.37E-04,3.25,0.6181,16.75,20.62,5.48E-04,0.65,0.3754,-31.93,38.99,0.003,0.65,1.2401,-0.86,-47.24,-0.002,0.65,-0.3456,1.72,47.03,-5.64E-04,0.65,-0.0663,12.04,357.95,0.005,0.65,1.8008,6.1,-38.68,0.009,0.65,-0.1999,-6.96,-8.11,0.002,0.65,-1.1634,11.96,39.02,0.01,0.65,1.1781,-8.69,47.22,0.01,0.65,1.7269,-6.88,8.56,0.002,0.65,0.617,-13.76,-51.33,-0.004,0.65,1.2297,-8.77,-12.72,0.003,0.65,3.249,1.72,-42.99,0.008,0.65,-0.9958,-20.73,82.25,-7.47E-04,0.65,4.2883,-4.12,-107.61,0.004,0.65,0.2629,-6.1,38.91,-0.006,,,,
3.44,-4.9207,,,,,,,,,,,3.26,-4.9552,-18.22,172.27,0.001,3.26,0.8206,12.03,-277.75,-0.003,0.652,,,,0.003,0.652,,,,-0.004,0.652,,,,-0.005,0.652,,,,0.01,0.652,,,,0.003,0.652,,,,0.002,0.652,,,,0.004,0.652,,,,0.005,0.652,,,,6.93E-04,0.652,,,,-0.003,0.652,,,,0.01,0.652,,,,0.002,0.652,,,,0.002,0.652,,,,0.01,0.652,,,,-0.002,,,,
3.45,-4.7176,,,,,,,,,,,3.27,-5.1289,-16.5,187.59,-0.003,3.27,0.8588,11.2,489.1,0.002,0.654,,,,-4.42E-04,0.654,,,,0.003,0.654,,,,0.001,0.654,,,,0.004,0.654,,,,0.002,0.654,,,,-0.005,0.654,,,,0.003,0.654,,,,0.002,0.654,,,,-0.005,0.654,,,,0.002,0.654,,,,0.006,0.654,,,,0.002,0.654,,,,0.003,0.654,,,,0.004,0.654,,,,0.002,,,,
3.46,-4.4769,,,,,,,,,,,3.28,-5.2853,-14.47,-3.65,0.002,3.28,1.0445,21.82,-142.79,-0.003,0.656,,,,-0.006,0.656,,,,0.003,0.656,,,,0.003,0.656,,,,0.002,0.656,,,,-2.71E-04,0.656,,,,-0.001,0.656,,,,0.002,0.656,,,,0.002,0.656,,,,3.76E-04,0.656,,,,0.002,0.656,,,,0.002,0.656,,,,-0.002,0.656,,,,0.01,0.656,,,,0.002,0.656,,,,0.002,,,,
3.47,-4.2379,,,,,,,,,,,3.29,-5.4183,-16.58,20.07,-0.003,3.29,1.2951,8.34,-574.35,5.85E-04,0.658,,,,8.64E-04,0.658,,,,0.006,0.658,,,,0.005,0.658,,,,0.001,0.658,,,,-0.005,0.658,,,,0.003,0.658,,,,-0.005,0.658,,,,-0.004,0.658,,,,0.002,0.658,,,,0.007,0.658,,,,0.002,0.658,,,,-0.005,0.658,,,,0.006,0.658,,,,0.001,0.658,,,,0.009,,,,
3.48,-3.9833,,,,,,,,,,,3.3,-5.6168,-14.07,305.06,6.27E-04,3.3,1.2113,10.33,648.21,5.90E-04,0.66,0.045,-31.07,90.24,0.003,0.66,1.2212,-0.86,4.23,0.01,0.66,-0.3284,1.72,-4.04,0.01,0.66,0.095,12.61,-313.24,-0.006,0.66,1.8524,5.25,-85.96,4.37E-04,0.66,-0.2703,-6.1,90.08,0.003,0.66,-1.0446,12.82,89.88,-0.002,0.66,1.0903,-7.66,8.43,-0.002,0.66,1.6581,-6.71,-81.75,0.003,0.66,0.4588,-13.85,43.02,0.009,0.66,1.1403,-6.97,141.71,-0.005,0.66,3.2662,1.81,-38.51,0.002,0.66,-1.2039,-19.95,129.17,0.002,0.66,4.2386,-4.55,-783.39,-0.006,0.66,0.2113,-5.24,86.04,0.007,,,,
3.49,-3.6895,,,,,,,,,,,3.31,-5.6998,-10.47,254.54,0.001,3.31,1.5017,21.3,-280.11,-0.003,0.662,,,,0.004,0.662,,,,0.003,0.662,,,,0.005,0.662,,,,-9.79E-04,0.662,,,,0.002,0.662,,,,5.194,0.662,,,,0.002,0.662,,,,0.002,0.662,,,,0.01,0.662,,,,0.003,0.662,,,,-0.003,0.662,,,,0.002,0.662,,,,0.002,0.662,,,,-0.002,0.662,,,,0.002,,,,
3.5,-3.4162,,,,,,,,,,,3.32,-5.8263,-8.98,297.35,-0.003,3.32,1.6374,4.73,-1133.73,0.002,0.664,,,,0.01,0.664,,,,0.002,0.664,,,,0.002,0.664,,,,0.002,0.664,,,,0.004,0.664,,,,5.438,0.664,,,,0.002,0.664,,,,0.003,0.664,,,,0.005,0.664,,,,0.002,0.664,,,,0.002,0.664,,,,0.006,0.664,,,,-0.005,0.664,,,,0.002,0.664,,,,0.002,,,,
3.51,-3.1257,,,,,,,,,,,3.33,-5.8794,-4.53,351.72,0.002,3.33,1.5962,-1.37,438.69,-0.003,0.666,,,,0.005,0.666,,,,2.78E-04,0.666,,,,0.002,0.666,,,,0.003,0.666,,,,0.01,0.666,,,,5.433,0.666,,,,0.009,0.666,,,,0.008,0.666,,,,0.002,0.666,,,,-0.002,0.666,,,,0.002,0.666,,,,0.01,0.666,,,,-0.004,0.666,,,,0.003,0.666,,,,-0.003,,,,
3.52,-2.8164,,,,,,,,,,,3.34,-5.9168,-1.95,258.03,-0.003,3.34,1.61,13.5,932.43,6.43E-04,0.668,,,,0.002,0.668,,,,-0.006,0.668,,,,-0.005,0.668,,,,0.01,0.668,,,,0.005,0.668,,,,5.433,0.668,,,,0.007,0.668,,,,0.008,0.668,,,,0.002,0.668,,,,-0.006,0.668,,,,0.007,0.668,,,,0.003,0.668,,,,0.002,0.668,,,,0.009,0.668,,,,-0.004,,,,
3.53,-2.5087,,,,,,,,,,,3.35,-5.9183,0.63,261.76,6.75E-04,3.35,1.8662,17.28,-313.77,7.43E-04,0.67,-0.2461,-30.13,43.19,0.002,0.67,1.2229,-0.78,-47.23,8.77E-04,0.67,-0.3112,1.64,43,-0.001,0.67,0.1859,5.77,-241.68,0.006,0.67,1.9057,4.39,-85.97,0.002,0.67,-0.322,-5.16,43.03,5.428,0.67,-0.9071,13.75,46.91,0.003,0.67,1.0249,-8.52,-90.25,0.002,0.67,1.5927,-8.52,-141.89,-0.005,0.67,0.34,-12.9,43.08,0.001,0.67,1.0903,-5.94,12.63,0.008,0.67,3.2852,0.95,-86,0.003,0.67,-1.3948,-18.15,129.25,0.003,0.67,4.1974,-19.78,-894.55,0.007,0.67,0.1581,-4.38,94.21,0.002,,,,
3.54,-2.1839,,,,,,,,,,,3.36,-5.9041,3.29,214.93,0.001,3.36,1.9556,7.22,-691.97,-0.003,0.672,,,,-0.006,0.672,,,,0.003,0.672,,,,0.003,0.672,,,,0.003,0.672,,,,0.002,0.672,,,,5.427,0.672,,,,0.003,0.672,,,,0.003,0.672,,,,-0.002,0.672,,,,0.002,0.672,,,,0.002,0.672,,,,-2.44E-06,0.672,,,,0.007,0.672,,,,0.002,0.672,,,,0.002,,,,
3.55,-1.8403,,,,,,,,,,,3.37,-5.8525,4.93,207.32,-0.003,3.37,2.0107,3.44,-202.25,0.002,0.674,,,,-0.001,0.674,,,,0.004,0.674,,,,0.003,0.674,,,,0.002,0.674,,,,-0.005,0.674,,,,5.434,0.674,,,,-0.003,0.674,,,,-0.002,0.674,,,,0.002,0.674,,,,0.004,0.674,,,,0.002,0.674,,,,-0.006,0.674,,,,0.009,0.674,,,,0.002,0.674,,,,0.006,,,,
3.56,-1.4966,,,,,,,,,,,3.38,-5.8055,7.43,308.42,0.002,3.38,2.0244,3.18,133.33,-0.003,0.676,,,,0.002,0.676,,,,0.011,0.676,,,,0.01,0.676,,,,-0.004,0.676,,,,-0.001,0.676,,,,5.434,0.676,,,,-0.005,0.676,,,,-0.004,0.676,,,,0.003,0.676,,,,0.01,0.676,,,,-0.002,0.676,,,,2.42E-04,0.676,,,,0.002,0.676,,,,-0.004,0.676,,,,0.01,,,,
3.57,-1.1529,,,,,,,,,,,3.39,-5.7038,11.1,218.56,-0.003,3.39,2.0743,6.11,107.67,6.48E-04,0.678,,,,0.003,0.678,,,,0.005,0.678,,,,0.007,0.678,,,,-0.003,0.678,,,,0.002,0.678,,,,5.438,0.678,,,,0.003,0.678,,,,0.002,0.678,,,,0.009,0.678,,,,0.004,0.678,,,,-0.006,0.678,,,,0.002,0.678,,,,0.002,0.678,,,,-0.004,0.678,,,,0.003,,,,
3.58,-0.8111,,,,,,,,,,,3.4,-5.5835,11.81,164.18,5.95E-04,3.4,2.1465,5.33,-128.96,4.54E-04,0.68,-0.5575,-30.21,43.04,0.01,0.68,1.2057,-1.8,-4.23,0.003,0.68,-0.2956,2.58,51.08,0.002,0.68,0.2105,7.77,579.34,0.002,0.68,1.9401,3.53,-85.97,0.003,0.68,-0.3736,-5.24,38.98,5.442,0.68,-0.7695,13.75,-4.01,0.003,0.68,0.92,-9.46,-47.23,0.002,0.68,1.4877,-9.55,-4.29,0.008,0.68,0.2007,-12.99,43.02,0.002,0.68,1.0215,-6.71,-133.25,0.001,0.68,3.2852,0.09,-81.51,0.003,0.68,-1.5669,-17.36,129.15,-0.002,0.68,3.8429,-22.44,1265.54,0.002,0.68,0.1237,-3.36,4.11,0.002,,,,
3.59,-0.4591,,,,,,,,,,,3.41,-5.4677,14.38,261.52,0.001,3.41,2.1809,3.53,-133.3,-0.003,0.682,,,,0.007,0.682,,,,0.002,0.682,,,,0.003,0.682,,,,0.002,0.682,,,,0.01,0.682,,,,5.435,0.682,,,,0.007,0.682,,,,0.007,0.682,,,,0.002,0.682,,,,0.001,0.682,,,,0.002,0.682,,,,0.01,0.682,,,,-0.006,0.682,,,,0.002,0.682,,,,-4.42E-04,,,,
3.6,-0.0071,,,,,,,,,,,3.42,-5.2958,17.04,218.54,-0.003,3.42,2.2171,2.67,-90.34,0.002,0.684,,,,0.002,0.684,,,,-0.005,0.684,,,,-0.004,0.684,,,,0.008,0.684,,,,0.007,0.684,,,,5.434,0.684,,,,0.01,0.684,,,,0.01,0.684,,,,0.002,0.684,,,,-0.006,0.684,,,,0.005,0.684,,,,0.005,0.684,,,,0.001,0.684,,,,0.007,0.684,,,,-0.006,,,,
3.61,0.3953,,,,,,,,,,,3.43,-5.127,18.75,171.71,0.002,3.43,2.2343,1.72,-38.62,-0.003,0.686,,,,0.002,0.686,,,,-0.002,0.686,,,,-0.003,0.686,,,,0.009,0.686,,,,0.002,0.686,,,,5.431,0.686,,,,0.003,0.686,,,,0.003,0.686,,,,-0.002,0.686,,,,-8.08E-04,0.686,,,,0.01,0.686,,,,0.002,0.686,,,,0.002,0.686,,,,0.009,0.686,,,,0.001,,,,
3.62,0.72,,,,,,,,,,,3.44,-4.9207,20.47,171.69,-0.003,3.44,2.2515,1.89,-77.28,8.19E-04,0.688,,,,-0.003,0.688,,,,0.003,0.688,,,,0.003,0.688,,,,0.003,0.688,,,,0.003,0.688,,,,0.512,0.688,,,,0.002,0.688,,,,0.002,0.688,,,,-0.004,0.688,,,,0.002,0.688,,,,0.004,0.688,,,,0.002,0.688,,,,0.005,0.688,,,,0.003,0.688,,,,0.002,,,,
3.63,1.0655,,,,,,,,,,,3.45,-4.7176,22.19,175.64,6.19E-04,3.45,2.2721,0.17,-180.72,5.49E-04,0.69,-0.8502,-29.26,43.19,-0.004,0.69,1.1868,-0.86,51.46,0.003,0.69,-0.2596,2.66,-43,0.003,0.69,0.3414,17.36,409.74,0.002,0.69,1.9763,2.67,-85.98,-0.003,0.69,-0.4268,-4.38,94.06,4.61E-04,0.69,-0.632,13.67,42.98,1.93E-04,0.69,0.8356,-9.46,-4.16,-5.13E-05,0.69,1.4017,-8.6,64.23,0.002,0.69,0.0802,-12.04,43.08,0.003,0.69,0.9561,-8.6,-102.81,0.002,0.69,3.287,-0.68,-133.5,-0.006,0.69,-1.742,-15.56,136.86,0.01,0.69,3.7486,5.53,1340.01,0.002,0.69,0.0909,-4.3,-47.11,0.004,,,,
3.64,1.392,,,,,,,,,,,3.46,-4.4769,23.98,124.66,0.001,3.46,2.2549,-1.72,-86.01,-0.003,0.692,,,,0.002,0.692,,,,0.009,0.692,,,,0.007,0.692,,,,-0.001,0.692,,,,-0.003,0.692,,,,0.003,0.692,,,,-0.005,0.692,,,,-0.006,0.692,,,,0.003,0.692,,,,0.01,0.692,,,,6.57E-04,0.692,,,,-0.003,0.692,,,,0.004,0.692,,,,-6.98E-04,0.692,,,,0.01,,,,
3.65,1.7222,,,,,,,,,,,3.47,-4.2379,24.68,171.74,-0.003,3.47,2.2377,-1.55,-42.48,0.002,0.694,,,,0.002,0.694,,,,0.008,0.694,,,,0.009,0.694,,,,-0.005,0.694,,,,0.003,0.694,,,,0.004,0.694,,,,5.71E-04,0.694,,,,7.91E-04,0.694,,,,0.006,0.694,,,,0.007,0.694,,,,-0.006,0.694,,,,0.003,0.694,,,,0.002,0.694,,,,-0.006,0.694,,,,0.005,,,,
3.66,2.0125,,,,,,,,,,,3.48,-3.9833,27.42,183.7,0.002,3.48,2.224,-2.57,-520.47,-0.003,0.696,,,,0.007,0.696,,,,0.003,0.696,,,,0.003,0.696,,,,0.001,0.696,,,,0.003,0.696,,,,0.011,0.696,,,,0.003,0.696,,,,0.002,0.696,,,,0.01,0.696,,,,0.002,0.696,,,,-9.18E-04,0.696,,,,0.002,0.696,,,,7.79E-04,0.696,,,,0.002,0.696,,,,0.002,,,,
3.67,2.3237,,,,,,,,,,,3.49,-3.6895,28.36,38.71,-0.003,3.49,2.1863,-11.96,-551.43,7.19E-04,0.698,,,,0.01,0.698,,,,0.002,0.698,,,,0.002,0.698,,,,0.003,0.698,,,,2.016,0.698,,,,0.006,0.698,,,,0.004,0.698,,,,0.004,0.698,,,,0.003,0.698,,,,0.002,0.698,,,,0.002,0.698,,,,0.009,0.698,,,,-0.006,0.698,,,,0.002,0.698,,,,0.002,,,,
3.68,2.6198,,,,,,,,,,,3.5,-3.4162,28.19,81.77,5.08E-04,3.5,1.9849,-13.6,270.84,5.18E-04,0.7,-1.1428,-29.34,77.86,0.003,0.7,1.1885,-0.78,-43,-0.003,0.7,-0.2424,1.72,-55.14,-4.54E-04,0.7,0.5576,15.97,-352.1,0.005,0.7,1.9935,1.81,-90.32,5.44,0.7,-0.4612,-3.36,4.03,0.002,0.7,-0.4961,14.61,46.96,0.01,0.7,0.7307,-9.55,43.01,0.01,0.7,1.3157,-8.26,-142.53,0.002,0.7,-0.0402,-12.13,43.02,-0.004,0.7,0.8495,-8.77,81.85,0.002,0.7,3.2716,-2.58,-94.99,0.008,0.7,-1.8782,-14.63,35.48,-8.79E-05,0.7,3.9534,4.36,-1446.84,0.004,0.7,0.0377,-4.3,-1.51E-11,-0.006,,,,
3.69,2.8756,,,,,,,,,,,3.51,-3.1257,29.99,132.78,0.001,3.51,1.9144,-6.54,615.33,-0.003,0.702,,,,0.003,0.702,,,,-0.004,0.702,,,,-0.006,0.702,,,,0.01,0.702,,,,5.433,0.702,,,,0.002,0.702,,,,0.005,0.702,,,,0.005,0.702,,,,1.44E-04,0.702,,,,-0.004,0.702,,,,0.01,0.702,,,,0.002,0.702,,,,0.002,0.702,,,,0.01,0.702,,,,-0.002,,,,
3.7,3.1545,,,,,,,,,,,3.52,-2.8164,30.85,81.53,-0.003,3.52,1.8542,-1.29,550.76,0.002,0.704,,,,-1.37E-04,0.704,,,,0.002,0.704,,,,0.001,0.704,,,,0.004,0.704,,,,5.433,0.704,,,,-0.006,0.704,,,,0.002,0.704,,,,0.003,0.704,,,,-0.006,0.704,,,,0.002,0.704,,,,0.006,0.704,,,,0.002,0.704,,,,0.002,0.704,,,,0.004,0.704,,,,0.002,,,,
3.71,3.3971,,,,,,,,,,,3.53,-2.5087,31.62,128.72,0.002,3.53,1.8885,4.48,-227.79,-0.003,0.706,,,,-0.006,0.706,,,,0.003,0.706,,,,0.002,0.706,,,,0.002,0.706,,,,5.43,0.706,,,,-0.002,0.706,,,,0.001,0.706,,,,0.002,0.706,,,,5.23E-04,0.706,,,,0.002,0.706,,,,0.002,0.706,,,,-0.002,0.706,,,,0.01,0.706,,,,0.003,0.706,,,,0.002,,,,
3.72,3.6226,,,,,,,,,,,3.54,-2.1839,33.42,137.18,-0.003,3.54,1.9437,-5.85,-1105.66,6.63E-04,0.708,,,,8.15E-04,0.708,,,,0.007,0.708,,,,0.004,0.708,,,,0.001,0.708,,,,5.425,0.708,,,,0.003,0.708,,,,-0.006,0.708,,,,-0.005,0.708,,,,0.002,0.708,,,,0.008,0.708,,,,0.002,0.708,,,,-0.005,0.708,,,,0.006,0.708,,,,0.001,0.708,,,,0.009,,,,
3.73,3.8288,,,,,,,,,,,3.55,-1.8403,34.37,47.15,5.49E-04,3.55,1.7716,-17.64,-391.36,4.43E-04,0.71,-1.437,-27.71,-344.11,0.003,0.71,1.1713,-1.72,-51.45,0.009,0.71,-0.2252,1.56,86,0.011,0.71,0.6608,10.32,-282.64,-0.006,0.71,2.0124,0.86,-47.33,5.432,0.71,-0.494,-4.3,-51.04,0.002,0.71,-0.3397,14.61,-4.07,-0.002,0.71,0.6447,-8.6,88.6,-0.002,0.71,1.2364,-11.45,-506.99,0.004,0.71,-0.1623,-11.18,51.13,0.009,0.71,0.7807,-6.96,137.42,-0.004,0.71,3.2354,-2.58,8.95,0.002,0.71,-2.0346,-14.86,125.26,0.002,0.71,3.8358,-23.41,-1352.67,-0.005,0.71,0.0049,-4.3,-4.07,0.008,,,,
3.74,4.0391,,,,,,,,,,,3.56,-1.4966,34.37,-4.41,0.001,3.56,1.591,-13.67,632.3,-0.003,0.712,,,,0.004,0.712,,,,0.003,0.712,,,,0.005,0.712,,,,-0.001,0.712,,,,5.434,0.712,,,,0.008,0.712,,,,0.002,0.712,,,,0.003,0.712,,,,0.01,0.712,,,,0.003,0.712,,,,-0.003,0.712,,,,0.002,0.712,,,,0.002,0.712,,,,-0.002,0.712,,,,0.003,,,,
3.75,4.2131,,,,,,,,,,,3.57,-1.1529,34.28,16.25,-0.003,3.57,1.4981,-4.99,369.47,0.002,0.714,,,,0.011,0.714,,,,0.003,0.714,,,,0.002,0.714,,,,0.002,0.714,,,,5.436,0.714,,,,0.008,0.714,,,,0.003,0.714,,,,0.002,0.714,,,,0.005,0.714,,,,0.003,0.714,,,,0.002,0.714,,,,0.006,0.714,,,,-0.005,0.714,,,,0.002,0.714,,,,0.002,,,,
3.76,4.3921,,,,,,,,,,,3.58,-0.8111,34.69,295.99,0.002,3.58,1.4911,-6.29,-404.16,-0.003,0.716,,,,0.005,0.716,,,,2.20E-05,0.716,,,,0.002,0.716,,,,0.003,0.716,,,,5.442,0.716,,,,0.002,0.716,,,,0.009,0.716,,,,0.009,0.716,,,,0.002,0.716,,,,-0.001,0.716,,,,0.002,0.716,,,,0.01,0.716,,,,-0.003,0.716,,,,0.002,0.716,,,,0.776,,,,
3.77,4.3243,,,,,,,,,,,3.59,-0.4591,40.2,401.63,-0.003,3.59,1.3724,-13.07,-253.41,8.96E-04,0.718,,,,0.002,0.718,,,,-0.005,0.718,,,,-0.005,0.718,,,,0.01,0.718,,,,5.436,0.718,,,,0.003,0.718,,,,0.008,0.718,,,,0.008,0.718,,,,0.002,0.718,,,,-0.005,0.718,,,,0.008,0.718,,,,0.003,0.718,,,,0.002,0.718,,,,0.01,0.718,,,,5.425,,,,
3.78,4.4082,,,,,,,,,,,3.6,-0.0071,42.72,-192.15,5.53E-04,3.6,1.2297,-11.35,193.21,5.52E-04,0.72,-1.697,-36.23,-466.83,0.002,0.72,1.1541,-1.8,43,9.38E-04,0.72,-0.2113,3.44,98.14,-0.001,0.72,0.764,10.32,4.2,0.007,0.72,2.0107,0.86,4.33,5.434,0.72,-0.5472,-4.38,39,-0.003,0.72,-0.2038,14.53,38.89,0.003,0.72,0.5587,-7.77,-442.42,0.003,0.72,1.0866,-18.4,-188.05,-0.006,0.72,-0.2639,-11.1,-51.05,0.002,0.72,0.7102,-6.02,51.34,0.009,0.72,3.22,-2.4,-81.54,0.002,0.72,-2.1753,-12.12,179.81,0.002,0.72,3.4852,-22.69,667.81,0.007,0.72,-0.0483,-4.38,38.94,5.432,,,,
3.79,4.5134,,,,,,,,,,,3.61,0.3953,36.35,-460.75,0.001,3.61,1.1453,-9.21,-34.51,-0.003,0.722,,,,-0.005,0.722,,,,0.003,0.722,,,,0.002,0.722,,,,0.002,0.722,,,,5.433,0.722,,,,-0.004,0.722,,,,0.003,0.722,,,,0.002,0.722,,,,-0.003,0.722,,,,0.002,0.722,,,,0.003,0.722,,,,2.05E-04,0.722,,,,0.007,0.722,,,,0.002,0.722,,,,5.433,,,,
3.8,4.6035,,,,,,,,,,,3.62,0.72,33.51,-137.71,-0.003,3.62,1.0455,-12.04,-150.11,0.002,0.724,,,,-9.18E-04,0.724,,,,0.004,0.724,,,,0.003,0.724,,,,0.003,0.724,,,,3.498,0.724,,,,0.002,0.724,,,,-0.003,0.724,,,,-0.002,0.724,,,,0.002,0.724,,,,0.005,0.724,,,,0.002,0.724,,,,-0.006,0.724,,,,0.009,0.724,,,,0.002,0.724,,,,5.439,,,,
3.81,4.6592,,,,,,,,,,,3.63,1.0655,33.6,-33.51,0.002,3.63,0.9045,-12.21,94.36,-0.003,0.726,,,,0.003,0.726,,,,0.01,0.726,,,,0.01,0.726,,,,-0.004,0.726,,,,-0.001,0.726,,,,0.003,0.726,,,,-0.004,0.726,,,,-0.004,0.726,,,,0.002,0.726,,,,0.526,0.726,,,,-0.001,0.726,,,,-3.91E-05,0.726,,,,0.002,0.726,,,,-0.004,0.726,,,,5.442,,,,
3.82,4.6764,,,,,,,,,,,3.64,1.392,32.84,-128.72,-0.003,3.64,0.8012,-10.16,8.42,7.45E-04,0.728,,,,0.002,0.728,,,,0.006,0.728,,,,0.008,0.728,,,,-0.003,0.728,,,,0.003,0.728,,,,0.007,0.728,,,,0.002,0.728,,,,0.002,0.728,,,,0.008,0.728,,,,5.434,0.728,,,,-0.005,0.728,,,,0.002,0.728,,,,0.002,0.728,,,,-0.004,0.728,,,,5.434,,,,
3.83,4.6976,,,,,,,,,,,3.65,1.7222,31.03,-138.17,4.03E-04,3.65,0.7013,-12.04,-98.56,4.35E-04,0.73,-2.1615,-37.04,1070.64,0.009,0.73,1.1352,-0.86,51.44,0.002,0.73,-0.1564,3.52,-47.06,0.002,0.73,0.8672,10.4,-42.99,0.002,0.73,2.0296,0.95,-43,0.002,0.73,-0.5816,-3.52,86.03,0.009,0.73,-0.0491,15.39,94.11,0.003,0.73,0.4892,-17.45,-375.69,0.003,0.73,0.8684,-15.21,498.39,0.008,0.73,-0.3843,-12.2,30.94,5.432,0.73,0.6603,-5.94,-47.15,0.001,0.73,3.1874,-4.21,-137.99,0.003,0.73,-2.277,-11.26,78.55,-0.002,0.73,3.382,-10.05,493.87,0.002,0.73,-0.0827,-3.52,90.09,5.434,,,,
3.84,4.6825,,,,,,,,,,,3.66,2.0125,30.07,-33.14,0.001,3.66,0.5604,-12.13,47.13,-0.003,0.732,,,,0.007,0.732,,,,0.002,0.732,,,,0.003,0.732,,,,0.003,0.732,,,,0.009,0.732,,,,0.003,0.732,,,,0.007,0.732,,,,0.007,0.732,,,,0.002,0.732,,,,5.432,0.732,,,,0.002,0.732,,,,0.01,0.732,,,,-0.005,0.732,,,,0.002,0.732,,,,5.431,,,,
