0.52,4.79
1.5,3.56
2.48,2.86
3.45,2.27
4.44,1.84
5.42,1.53
6.38,1.31
7.37,0.93
8.28,0.91
9.32,0.62
10.3,0.53
11.26,0.57
12.24,0.4
13.25,0.33
14.22,0.31
