0,6.01,0.52,4.79
0.93,5.73,1.5,3.56
1.89,5.32,2.48,2.86
2.86,4.92,3.45,2.27
3.83,4.7,4.44,1.84
4.8,4.53,5.42,1.53
5.76,4.46,6.38,1.31
6.73,4.16,7.37,0.93
7.7,3.87,8.28,0.91
8.67,3.72,9.32,0.62
9.63,3.58,10.3,0.53
10.58,3.4,11.26,0.57
11.59,3.13,12.24,0.4
12.54,2.87,13.25,0.33
13.5,2.77,14.22,0.31
14.49,2.61,,
