3.10,-0.3254
3.11,-0.6715
3.12,-1.0039
3.13,-1.2741
3.14,-1.6012
3.15,-1.9266
3.16,-2.2744
3.17,-2.5826
3.18,-2.9130
3.19,-3.2056
3.20,-3.4983
3.21,-3.7942
3.22,-4.0524
3.23,-4.3121
3.24,-4.5563
3.25,-4.7644
3.26,-4.9552
3.27,-5.1289
3.28,-5.2853
3.29,-5.4183
3.30,-5.6168
3.31,-5.6998
3.32,-5.8263
3.33,-5.8794
3.34,-5.9168
3.35,-5.9183
3.36,-5.9041
3.37,-5.8525
3.38,-5.8055
3.39,-5.7038
3.40,-5.5835
3.41,-5.4677
3.42,-5.2958
3.43,-5.1270
3.44,-4.9207
3.45,-4.7176
3.46,-4.4769
3.47,-4.2379
3.48,-3.9833
3.49,-3.6895
3.50,-3.4162
3.51,-3.1257
3.52,-2.8164
3.53,-2.5087
3.54,-2.1839
3.55,-1.8403
3.56,-1.4966
3.57,-1.1529
3.58,-0.8111
3.59,-0.4591
3.60,-0.0071
3.61,0.3953
3.62,0.7200
3.63,1.0655
3.64,1.3920
3.65,1.7222
3.66,2.0125
3.67,2.3237
3.68,2.6198
3.69,2.8756
3.70,3.1545
3.71,3.3971
3.72,3.6226
3.73,3.8288
3.74,4.0391
3.75,4.2131
3.76,4.3921
3.77,4.3243
3.78,4.4082
3.79,4.5134
3.80,4.6035
3.81,4.6592
3.82,4.6764
3.83,4.6976
3.84,4.6825
3.85,4.6501
3.86,4.6005
3.87,4.5378
3.88,4.4174
3.89,4.2969
3.90,4.1805
3.91,4.0257
3.92,3.8788
3.93,3.6411
3.94,3.5458
3.95,3.3836
3.96,3.1254
3.97,2.8692
3.98,2.5938
3.99,2.3222
4.00,2.0123
4.01,1.7043
4.02,1.3772
4.03,1.0520
4.04,0.7058
4.05,0.3805
4.06,0.0361
4.07,-0.3082
4.08,-0.6543
4.09,-0.9797
4.10,-1.3258
4.11,-1.6529
4.12,-1.9817
4.13,-2.2916
4.14,-2.6014
4.15,-2.9130
4.16,-3.2073
4.17,-3.4827
4.18,-3.7597
4.19,-4.0211
4.20,-4.2449
4.21,-4.4702
4.22,-4.6799
4.23,-4.8520
4.24,-5.0272
4.25,-5.1664
4.26,-5.2884
4.27,-5.3947
4.28,-5.4635
4.29,-5.5353
4.30,-5.5682
4.31,-5.6259
4.32,-5.6102
4.33,-5.5774
4.34,-5.5288
4.35,-5.4429
4.36,-5.3600
4.37,-5.2411
4.38,-5.1051
4.39,-4.9520
4.40,-4.7816
4.41,-4.5957
4.42,-4.3722
4.43,-4.1488
4.44,-3.9285
4.45,-3.6707
4.46,-3.4162
4.47,-3.1240
4.48,-2.8319
4.49,-2.5414
4.50,-2.2338
4.51,-1.9073
4.52,-1.5808
