Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #3,Run #3,Run #3,Run #3
Time (s),Current (A),Voltage (V),Electron Current (x10^-10 A),Peak Voltage (V),Diff between Peaks (V),Trough Voltage (V),Diff between Troughs (V),Time (s),Current (A),Voltage (V),Electron Current (x10^-10 A),Peak Voltage (V),Diff between Peaks (V),Trough Voltage (V),Diff between Troughs (V),Time (s),Current (A),Voltage (V),Electron Current (x10^-10 A),Peak Voltage (V),Diff between Peaks (V),Trough Voltage (V),Diff between Troughs (V)
8.88E-14,-8.88E-14,13.9,8.88E-04,,,,,-4.29E-14,4.29E-14,10.1,-4.29E-04,,,,,7.3,8.54E-14,2.3,-8.54E-04,,,,
1.20E-13,-1.20E-13,14.4,0,,,,,-4.29E-14,4.29E-14,10.2,-4.29E-04,,,,,7.6,8.55E-14,2.4,-8.55E-04,,,,
2.36E-13,-2.36E-13,15,0,,,,,-4.54E-14,4.54E-14,10.5,-4.54E-04,,,,,8,7.16E-14,2.5,-7.16E-04,,,,
2.99E-13,-2.99E-13,15.1,0,,,,,-4.57E-14,4.57E-14,10.5,-4.57E-04,,,,,8.3,6.29E-14,2.6,-6.29E-04,,,,
3.58E-13,-3.58E-13,15.3,0,,,,,-4.25E-14,4.25E-14,10.9,-4.25E-04,,,,,8.6,6.37E-14,2.8,-6.37E-04,,,,
4.77E-13,-4.77E-13,15.9,0,,,,,-4.49E-14,4.49E-14,11.1,-4.49E-04,,,,,8.9,6.24E-14,2.9,-6.24E-04,,,,
5.80E-13,-5.80E-13,16.6,0.01,,,,,-4.48E-14,4.48E-14,11.7,-4.48E-04,,,,,9.1,6.46E-14,2.9,-6.46E-04,,,,
6.46E-13,-6.46E-13,17,0.01,,,,,-4.79E-14,4.79E-14,11.9,-4.79E-04,,,,,9.5,6.82E-14,3.1,-6.82E-04,,,,
7.83E-13,-7.83E-13,17.6,0.01,,,,,-4.49E-14,4.49E-14,12.2,-4.49E-04,,,,,9.8,6.75E-14,3.2,-6.75E-04,,,,
1.06E-12,-1.06E-12,19,0.01,,,,,-4.80E-14,4.80E-14,12.5,-4.80E-04,,,,,10.1,6.45E-14,3.4,-6.45E-04,,,,
1.13E-12,-1.13E-12,19.2,0.01,,,,,-4.40E-14,4.40E-14,12.8,-4.39E-04,,,,,10.4,5.80E-14,3.5,-5.80E-04,,,,
1.26E-12,-1.26E-12,20,0.01,,,,,-4.04E-14,4.04E-14,13,-4.04E-04,,,,,10.7,6.07E-14,3.6,-6.07E-04,,,,
1.32E-12,-1.32E-12,20.4,0.01,,,,,-3.96E-14,3.96E-14,13.2,-3.96E-04,,,,,10.9,5.64E-14,3.7,-5.64E-04,,,,
1.44E-12,-1.44E-12,20.8,0.01,,,,,-3.57E-14,3.57E-14,13.4,-3.57E-04,,,,,11.1,5.36E-14,3.9,-5.36E-04,,,,
1.50E-12,-1.50E-12,21.3,0.02,,,,,-3.53E-14,3.53E-14,13.6,-3.53E-04,,,,,11.5,5.84E-14,4,-5.84E-04,,,,
1.60E-12,-1.60E-12,22,0.02,,,,,-2.59E-14,2.59E-14,13.7,-2.59E-04,,,,,11.7,5.12E-14,4.1,-5.12E-04,,,,
1.64E-12,-1.64E-12,22.1,0.02,,,,,-2.74E-14,2.74E-14,13.9,-2.74E-04,,,,,12,4.80E-14,4.3,-4.80E-04,,,,
1.69E-12,-1.69E-12,23,0.02,,,,,-2.83E-14,2.83E-14,14.1,-2.82E-04,,,,,12.3,4.00E-14,4.5,-4.00E-04,,,,
1.71E-12,-1.71E-12,23.4,0.02,,,,,-1.87E-14,1.87E-14,14.7,-1.87E-04,,,,,12.5,4.36E-14,4.6,-4.36E-04,,,,
1.74E-12,-1.74E-12,23.7,0.02,,,,,4.10E-15,-4.10E-15,15,4.10E-05,,,,,12.8,4.74E-14,4.7,-4.74E-04,,,,
1.74E-12,-1.74E-12,24.1,0.02,,,,,2.37E-14,-2.37E-14,15.3,2.36E-04,,,,,13.2,5.08E-14,4.8,-5.08E-04,,,,
1.73E-12,-1.73E-12,24.9,0.02,,,,,4.14E-14,-4.14E-14,15.5,4.14E-04,,,,,13.4,5.73E-14,4.9,-5.73E-04,,,,
1.70E-12,-1.70E-12,25.8,0.02,,,,,7.48E-14,-7.48E-14,15.8,7.48E-04,,,,,13.6,4.98E-14,5.1,-4.98E-04,,,,
1.69E-12,-1.69E-12,26.2,0.02,,,,,9.51E-14,-9.51E-14,16,9.51E-04,,,,,14,5.79E-14,5.3,-5.79E-04,,,,
1.68E-12,-1.68E-12,26.6,0.02,,,,,1.27E-13,-1.27E-13,16.3,0,,,,,14.2,5.38E-14,5.4,-5.38E-04,,,,
1.67E-12,-1.67E-12,26.9,0.02,,,,,1.49E-13,-1.49E-13,16.4,0,,,,,14.5,5.68E-14,5.5,-5.68E-04,,,,
1.69E-12,-1.69E-12,27.7,0.02,,,,,1.91E-13,-1.91E-13,17.1,0,,,,,14.8,5.70E-14,5.6,-5.69E-04,,,,
1.75E-12,-1.75E-12,28.2,0.02,,,,,2.17E-13,-2.17E-13,17.4,0,,,,,15.1,6.31E-14,5.7,-6.31E-04,,,,
1.79E-12,-1.79E-12,28.6,0.02,,,,,2.49E-13,-2.49E-13,17.5,0,,,,,15.5,6.05E-14,5.8,-6.04E-04,,,,
1.90E-12,-1.90E-12,29.2,0.02,,,,,2.84E-13,-2.84E-13,17.6,0,,,,,15.8,6.52E-14,6.1,-6.52E-04,,,,
1.96E-12,-1.96E-12,29.3,0.02,,,,,3.37E-13,-3.37E-13,17.9,0,,,,,16.1,6.40E-14,6.4,-6.40E-04,,,,
2.08E-12,-2.08E-12,29.9,0.02,,,,,3.62E-13,-3.62E-13,18.2,0,,,,,16.4,7.04E-14,6.5,-7.04E-04,,,,
2.13E-12,-2.13E-12,30.2,0.02,,,,,3.87E-13,-3.87E-13,18.3,0,,,,,16.7,6.82E-14,6.6,-6.82E-04,,,,
2.25E-12,-2.25E-12,30.9,0.02,,,,,4.44E-13,-4.44E-13,18.9,0,,,,,16.9,6.65E-14,6.7,-6.65E-04,,,,
2.31E-12,-2.31E-12,31.3,0.02,,,,,4.76E-13,-4.76E-13,19.1,0,,,,,17.3,6.45E-14,7,-6.45E-04,,,,
2.44E-12,-2.44E-12,31.8,0.02,,,,,5.51E-13,-5.51E-13,19.4,0.01,,,,,17.5,7.06E-14,7.1,-7.06E-04,,,,
2.54E-12,-2.54E-12,32.7,0.03,,,,,6.11E-13,-6.11E-13,19.7,0.01,,,,,17.8,7.04E-14,7.3,-7.04E-04,,,,
2.58E-12,-2.58E-12,33.1,0.03,,,,,6.41E-13,-6.41E-13,19.8,0.01,,,,,18.1,6.55E-14,7.4,-6.55E-04,,,,
2.61E-12,-2.61E-12,33.8,0.03,,,,,6.85E-13,-6.85E-13,20,0.01,,,,,18.3,6.69E-14,7.4,-6.68E-04,,,,
2.61E-12,-2.61E-12,34.5,0.03,,,,,7.04E-13,-7.04E-13,20.1,0.01,,,,,18.6,6.98E-14,7.6,-6.98E-04,,,,
2.53E-12,-2.53E-12,35,0.03,,,,,7.19E-13,-7.19E-13,20.2,0.01,,,,,18.9,6.91E-14,7.8,-6.91E-04,,,,
2.35E-12,-2.35E-12,35.8,0.02,,,,,7.36E-13,-7.36E-13,20.3,0.01,,,,,19.1,7.81E-14,8,-7.81E-04,,,,
2.28E-12,-2.28E-12,36,0.02,,,,,7.65E-13,-7.65E-13,20.4,0.01,,,,,19.4,6.97E-14,8.2,-6.97E-04,,,,
2.13E-12,-2.13E-12,36.6,0.02,,,,,7.84E-13,-7.84E-13,20.5,0.01,,,,,19.6,6.59E-14,8.4,-6.59E-04,,,,
2.05E-12,-2.05E-12,37,0.02,,,,,7.93E-13,-7.93E-13,20.6,0.01,,,,,19.9,7.33E-14,8.5,-7.33E-04,,,,
1.90E-12,-1.90E-12,37.4,0.02,,,,,7.93E-13,-7.93E-13,20.6,0.01,,,,,20.2,7.08E-14,8.6,-7.08E-04,,,,
1.82E-12,-1.82E-12,37.6,0.02,,,,,8.20E-13,-8.20E-13,20.8,0.01,,,,,20.5,7.21E-14,8.8,-7.21E-04,,,,
1.77E-12,-1.77E-12,38,0.02,,,,,8.29E-13,-8.29E-13,20.9,0.01,,,,,20.8,7.38E-14,9.1,-7.38E-04,,,,
1.73E-12,-1.73E-12,38.4,0.02,,,,,8.40E-13,-8.40E-13,21.1,0.01,,,,,21.1,6.89E-14,9.3,-6.89E-04,,,,
1.70E-12,-1.70E-12,38.8,0.02,,,,,8.56E-13,-8.56E-13,21.3,0.01,,,,,21.3,7.04E-14,9.5,-7.04E-04,,,,
1.74E-12,-1.74E-12,39.7,0.02,,,,,8.91E-13,-8.91E-13,21.6,0.01,,,,,21.6,7.46E-14,9.7,-7.46E-04,,,,
1.90E-12,-1.90E-12,40.3,0.02,,,,,9.04E-13,-9.04E-13,21.7,0.01,,,,,21.8,7.67E-14,9.8,-7.67E-04,,,,
2.00E-12,-2.00E-12,40.5,0.02,,,,,9.37E-13,-9.37E-13,21.8,0.01,,,,,22.1,7.76E-14,9.9,-7.76E-04,,,,
2.24E-12,-2.24E-12,41.6,0.02,,,,,9.37E-13,-9.37E-13,21.8,0.01,,,,,22.4,7.33E-14,10,-7.33E-04,,,,
2.38E-12,-2.38E-12,41.9,0.02,,,,,9.49E-13,-9.49E-13,22.1,0.01,,,,,22.6,6.28E-14,10.1,-6.28E-04,,,,
2.93E-12,-2.93E-12,43.3,0.03,,,,,9.59E-13,-9.59E-13,22.1,0.01,,,,,22.9,5.12E-14,10.3,-5.12E-04,,,,
3.04E-12,-3.04E-12,43.5,0.03,,,,,9.82E-13,-9.82E-13,22.2,0.01,,,,,23.1,5.71E-14,10.4,-5.71E-04,,,,
3.04E-12,-3.04E-12,43.5,0.03,,,,,9.92E-13,-9.92E-13,22.2,0.01,,,,,23.4,5.97E-14,10.6,-5.97E-04,,,,
3.22E-12,-3.22E-12,44.7,0.03,,,,,9.98E-13,-9.98E-13,22.3,0.01,,,,,23.6,5.68E-14,10.7,-5.68E-04,,,,
3.24E-12,-3.24E-12,45,0.03,,,,,1.00E-12,-1.00E-12,22.4,0.01,,,,,23.9,6.68E-14,10.9,-6.68E-04,,,,
3.22E-12,-3.22E-12,45.2,0.03,,,,,1.01E-12,-1.01E-12,22.7,0.01,,,,,24.1,6.51E-14,11,-6.51E-04,,,,
3.15E-12,-3.15E-12,46.1,0.03,,,,,1.03E-12,-1.03E-12,23.1,0.01,,,,,24.3,4.77E-14,11.1,-4.77E-04,,,,
3.07E-12,-3.07E-12,46.6,0.03,,,,,1.03E-12,-1.03E-12,23.4,0.01,,,,,24.6,2.41E-14,11.2,-2.41E-04,,,,
2.83E-12,-2.83E-12,47,0.03,,,,,1.05E-12,-1.05E-12,23.5,0.01,,,,,24.8,2.75E-15,11.4,-2.75E-05,,,,
2.41E-12,-2.41E-12,48.1,0.02,,,,,1.06E-12,-1.06E-12,23.7,0.01,,,,,25.1,-4.92E-14,11.5,4.92E-04,,,,
